Feature,Importance
Day Mins,0.1008014861148678
CustServ Calls,0.09439438545086679
Day Charge,0.09210813012617698
TotalMinutes,0.08569578286007448
VMail Message,0.053818717939643615
VMail Plan,0.049465864687914085
AvgCallDuration,0.04232518694757666
Intl Calls,0.04079201842754666
Eve Charge,0.04045526813869019
Eve Mins,0.03887149225180327
Area Code,0.03674375019462822
State,0.03598475492104581
Intl Charge,0.03497929093582017
Intl Mins,0.033603041270773494
Night Charge,0.03346115059633126
Account Length,0.030329767350765143
Night Mins,0.029714771142043815
Day Calls,0.028497631413349406
TotalCalls,0.027296033317325295
Eve Calls,0.02571045416668324
Night Calls,0.025060937061638065
Int'l Plan,0.01401154079725787
HighServiceCalls,0.005878543887177687
